"question_clean","answer_clean"
"Тут где-то можно купить зарядку UGREEN 65W GaN Charger (именно этот производитель)?","К сожалению, только BaseUs Gan нашёл на Малика."
"Всем привет! Никто случайно не знает здесь информации о покупке квартир в новостройках, которые находятся в процессе строительства или на этапе котлована? Кто-нибудь может порекомендовать проверенных застройщиков с выгодными условиями?","От 150 к баксов только для нерезидентов, вроде."
"Всем привет! Никто случайно не знает здесь информации о покупке квартир в новостройках, которые находятся в процессе строительства или на этапе котлована? Кто-нибудь может порекомендовать проверенных застройщиков с выгодными условиями?","У вас IT-виза или гражданство?"
"Привет!  
Покупка Macbook'а у неофициальных продавцов может иметь некоторые риски, помимо отсутствия гарантии. Вот основные моменты, на которые стоит обратить внимание:  

1. **Подлинность устройства** — редко, но бывают случаи продажи поддельных или перепрограммированных девайсов. Проверяй серийный номер на сайте Apple и убеждайся, что он не использовался раньше.  
2. **Отсутствие оригинальных комплектующих** — не всегда в комплекте идут зарядка, кабель или упаковка.  
3. **Непредсказуемое состояние** — если это девайс с б/у, он может иметь скрытые повреждения или проблемы с работой.  
4. **Проблемы с售后服务** — даже если продавец обещает замену, без официального статуса это может быть сложно.  

Как проверить:  
- Изучи отзывы о продавце и площадке (Macbro, iHoop и т.д.).  
- Убедись, что упаковка не повреждена, в наличии **оригинальные наклейки** (например, на дне корпуса, у экрана, на аккумуляторе — там обычно есть специальные стикеры).  
- Проверь наличие **оригинального плёнки** на экране (она обычно приклеена со стороны дисплея).  
- Если возможно, пригласи специалиста проверить устройство на месте или сделай видео для себя.  

Лучше выбирать продавцов с хорошей репутацией, они часто предлагают собственные условия возврата или обмена. Удачи с выбором!","Официальные лица медиапарка"
"Привет!  
Покупка Macbook'а у неофициальных продавцов может иметь некоторые риски, помимо отсутствия гарантии. Вот основные моменты, на которые стоит обратить внимание:  

1. **Подлинность устройства** — редко, но бывают случаи продажи поддельных или перепрограммированных девайсов. Проверяй серийный номер на сайте Apple и убеждайся, что он не использовался раньше.  
2. **Отсутствие оригинальных комплектующих** — не всегда в комплекте идут зарядка, кабель или упаковка.  
3. **Непредсказуемое состояние** — если это девайс с б/у, он может иметь скрытые повреждения или проблемы с работой.  
4. **Проблемы с售后服务** — даже если продавец обещает замену, без официального статуса это может быть сложно.  

Как проверить:  
- Изучи отзывы о продавце и площадке (Macbro, iHoop и т.д.).  
- Убедись, что упаковка не повреждена, в наличии **оригинальные наклейки** (например, на дне корпуса, у экрана, на аккумуляторе — там обычно есть специальные стикеры).  
- Проверь наличие **оригинального плёнки** на экране (она обычно приклеена со стороны дисплея).  
- Если возможно, пригласи специалиста проверить устройство на месте или сделай видео для себя.  

Лучше выбирать продавцов с хорошей репутацией, они часто предлагают собственные условия возврата или обмена. Удачи с выбором!","Айхупсы — самые выгодные по цене, сохраняют свою марку, продают яблоки, открывая упаковку прямо перед вами."
"Друзья, подскажите, пожалуйста, где можно найти SFP+ медные модули? На Малике их нет, никто не может помочь. Друзья, ау!","Можно подробнее?"
"Друзья, подскажите, пожалуйста, где можно найти SFP+ медные модули? На Малике их нет, никто не может помочь. Друзья, ау!","такое?"
"Всем привет. У кого-то есть опыт работы в EPAM? Каковы шансы попасть туда, если есть год опыта в Python-разработке? Например, на позицию junior+.","Да, вроде не берут джунов."
"Всем привет. У кого-то есть опыт работы в EPAM? Каковы шансы попасть туда, если есть год опыта в Python-разработке? Например, на позицию junior+.","Просто попробуйте пройти все этапы на максимум. Возможно, у вас навыки выше джун+?"
"Всем привет. У кого-то есть опыт работы в EPAM? Каковы шансы попасть туда, если есть год опыта в Python-разработке? Например, на позицию junior+.","На каком-то митапе я спросила у них про лабы и другие вопросы. Они сказали, что сейчас сюда приехало много специалистов, поэтому, наверное, всё стало сложнее, чем раньше."
"Всем привет. У кого-то есть опыт работы в EPAM? Каковы шансы попасть туда, если есть год опыта в Python-разработке? Например, на позицию junior+.","Низкие, но тут как повезёт. Попробуйте. Локация УЗ норм. Шансы выше только в европейских локациях."
"Ну в РФ наверное и в сытые годы было хуже. Но если бы давали на выбор: Германия, UK, US, Франция и Израиль. Чтобы выбрали. Если бы условия паспорта были одинаковые?","С получением паспорта? Канеш юэсэй. А с их паспортом в джомани)"
"Ну в РФ наверное и в сытые годы было хуже. Но если бы давали на выбор: Германия, UK, US, Франция и Израиль. Чтобы выбрали. Если бы условия паспорта были одинаковые?","Узбекистан, в этом чате только так."
"IT-умы, куда копать? То есть Chrome ведёт себя странно: закрывает вкладки при закрытии браузера, хотя галочка стоит. Снял её, обновил браузер, удалял и отключал расширения. Ничего не помогает.","Ctrl+Shift+T или Cmd+Shift+T на Mac — восстановить закрытые вкладки. Пока не найдёшь проблему."
"А где купить ньюбелэнсы в Таше?","urbanstore_uz, например"
"Добрый день. Подскажите, как россиянину перевести деньги со Сбера на узбекскую карту через Апельсин? И по какому курсу конвертировать доллары в рубли? Благодарю.","В Сбербанке Онлайн есть функция перевода за рубеж, и среди них есть Узбекистан. Однако поддерживается ограниченное количество банков."
"Добрый день. Подскажите, как россиянину перевести деньги со Сбера на узбекскую карту через Апельсин? И по какому курсу конвертировать доллары в рубли? Благодарю.","На Азию можно через корону."
"Кто и по какой цене заказывает воду? В конторе, где я заказывал три раза, решили на этот раз забыть, что мне нужно привезти. Уже третий день не привозят.","Я заказываю Монтелла через бот."
"Кто и по какой цене заказывает воду? В конторе, где я заказывал три раза, решили на этот раз забыть, что мне нужно привезти. Уже третий день не привозят.","Тоже на третий раз нашли вроде нормальный сервис: 3 родника, +998 888 777 123"
"Привет! Не заряжается MacBook. Кто-то чинил здесь маки? Можете посоветовать хороших специалистов?","ihoops"
"Кто-нибудь знает, какое количество сухофруктов можно вывезти из Узбекистана в Россию? Помню, что в Узбекистане действуют ограничения — например, 5 кг орехов и 40 кг сухофруктов, но не могу найти информацию о правилах на российской стороне. Где можно посмотреть, какие ограничения действуют при ввозе в РФ?","Если не привезете 100 кг, то не малочьтесь. (Никто не спрашивал, не взвешивал никогда.)"
"Кто-нибудь знает, какое количество сухофруктов можно вывезти из Узбекистана в Россию? Помню, что в Узбекистане действуют ограничения — например, 5 кг орехов и 40 кг сухофруктов, но не могу найти информацию о правилах на российской стороне. Где можно посмотреть, какие ограничения действуют при ввозе в РФ?","В РФ нет сухофруктов, что ли?"
"Кто-нибудь знает, какое количество сухофруктов можно вывезти из Узбекистана в Россию? Помню, что в Узбекистане действуют ограничения — например, 5 кг орехов и 40 кг сухофруктов, но не могу найти информацию о правилах на российской стороне. Где можно посмотреть, какие ограничения действуют при ввозе в РФ?","До 5 кг продуктов растительного или животного происхождения в заводской упаковке."
"Пожалуйста, подскажите название чата для подселения.","Релокейшн coliving, вроде"
"Не знаю, где в Москве можно найти миндаль по 600 рублей за килограмм? Честно говоря, я не знаю.","возьмите за 800 в москве? зато не надо тащить"
"Не знаю, где в Москве можно найти миндаль по 600 рублей за килограмм? Честно говоря, я не знаю.","Где здесь можно такой найти? Пока что видел только дешевые грецкие."
"Не знаю, где в Москве можно найти миндаль по 600 рублей за килограмм? Честно говоря, я не знаю.","Нигде. А где фисташки по 150 тыс. сум за килограмм?"
"Не знаю, где в Москве можно найти миндаль по 600 рублей за килограмм? Честно говоря, я не знаю.","Да рубль уже так падает, что скоро и в Узбекистане обойдётся 800 рублей."
"Где здесь можно найти такой? Я пока видел только дешевые гречки.","На базаре"
"Нигде. А фисташки за 150 к сум за кг где?","Я давно в МСК фисташки не ел. Там маленькая упаковка — примерно 40 грамм, стоимостью космических денег."
"Нигде. А фисташки за 150 к сум за кг где?","В Москве за сумы?"
"Привет всем, кто работает по ГПХ. Что касается налогов, это 12% + 12% (социальный налог)?","Кто сталкивался с оформлением договора гражданско-правового характера (оформлял самостоятельно или за кого-то), пожалуйста, откликнитесь. Можно написать в личные сообщения."
"Привет всем, кто работает по ГПХ. Что касается налогов, это 12% + 12% (социальный налог)?","Да, такие налоги — 12 и 12."
"Всем привет! На фоне новостных повесток хочу поинтересоваться, нет ли тут HR? Может, кому фронты нужны?","Присоединяюсь к вопросу"
"Всем привет! На фоне новостных повесток хочу поинтересоваться, нет ли тут HR? Может, кому фронты нужны?","Напишите мне"
"Подскажите, где в Ташкенте можно сделать перевод золотой короны себе, чтобы получить самому?","На карту можно из короны"
"Подскажите, где в Ташкенте можно сделать перевод золотой короны себе, чтобы получить самому?","Алока банк и Азия Альянс, если нужно снять наличные. В Алока можно снять 3 тыс. долларов в месяц без предоставления справки о происхождении средств."
"Подскажите, где в Ташкенте можно сделать перевод золотой короны себе, чтобы получить самому?","Переводите сами через приложение, деньги можно получить в Хамкорбанк и Трастбанк. Азия Альянс тоже предлагает услугу, но только после 15 дней нахождения в стране."
"Я всё ещё не понимаю, почему это слово в бане... Его уже практически повсеместно используют, и как будто больше не скрывают. Не знаю. А что ещё здесь запрещено? Сколько чатов — столько и правил. Где-то даже ""SHOP"" заблокировали, представьте. Мрак.","Это в трейдерском небось"
"А есть тут кто-нибудь фрилансеры? Какие сайты используете для поиска заказов? (бэкенд разработка)","Там потребуют паспорт. Если он РФ или РБ, то всё будет в порядке."
"У нас Димка (или Мишка) готовится снова стать президентом? Или зачем он в Китай летал?","нужно договариваться о газе"
"У нас Димка (или Мишка) готовится снова стать президентом? Или зачем он в Китай летал?","Поживем увидим."
"У нас Димка (или Мишка) готовится снова стать президентом? Или зачем он в Китай летал?","Не стоит получать от Си. Не нужно ездить в ВК за этим. Не очень удобно."
"У нас Димка (или Мишка) готовится снова стать президентом? Или зачем он в Китай летал?","Есть ли ответ на поездку Зеленского в США?"
"Друзья, подскажите, нужно ли регистрировать ребенка по месту жительства или достаточно регистрации родителя?","Я не зарегистрировал свою пятилетнюю девочку."
"Друзья, подскажите, нужно ли регистрировать ребенка по месту жительства или достаточно регистрации родителя?","Сколько лет ребенку? Если не ошибаюсь, до 14 или 16 лет регистрация не требуется."
"Друзья, подскажите, нужно ли регистрировать ребенка по месту жительства или достаточно регистрации родителя?","Доброе утро! Нет, до 16 лет регистрация не требуется"
"Вчера оплатил AWS через карту Kapital Bank, транзакция прошла успешно. Но сейчас AWS запрашивает верификацию карты. Проверяю статус в банке — «Отказ. Подозрения в мошенничестве». Звонил в банк, но сотрудники не смогли объяснить причину. Предложили перевыпустить карту. Кто-то сталкивался с подобной ситуацией?","Если оплата прошла, о чём вы беспокоитесь?"
"Вчера оплатил AWS через карту Kapital Bank, транзакция прошла успешно. Но сейчас AWS запрашивает верификацию карты. Проверяю статус в банке — «Отказ. Подозрения в мошенничестве». Звонил в банк, но сотрудники не смогли объяснить причину. Предложили перевыпустить карту. Кто-то сталкивался с подобной ситуацией?","Да, такое бывает, и автоматически не списывает в дату выставления счёта по билингу. Подключил карту Анкора, по крайней мере для чего-то этот банк нормально сработал."
"подскажите, какая мощность сервера нужна для обработки 100-200 запросов в секунду?","Все зависит от того, что ты там будешь использовать."
"подскажите, какая мощность сервера нужна для обработки 100-200 запросов в секунду?","200 RPS, не тысяч? Конечно, в зависимости от типа RPS, но минимумы, наверное, хватят."
"подскажите, какая мощность сервера нужна для обработки 100-200 запросов в секунду?","Какого сервера? БД, приложение, фронт, шина, микросервис?"
"подскажите, какая мощность сервера нужна для обработки 100-200 запросов в секунду?","Начните с минимального объема и следите за показателями. Используйте беспроигрышный подход. Если не ожидаете сразу большой и значимый трафик, то подходите к этим вопросам с запасом."
"подскажите, какая мощность сервера нужна для обработки 100-200 запросов в секунду?","Начни с Oracle Free Tier. Бесплатный небольшой сервер или до 4 серверов. Есть на x86 и ARM."
"Купил ИБП, но он шумит вентилятором как добротная игровая приставка под нагрузкой.  

Иногда переключается на аккумулятор на несколько секунд — видимо, электросеть не самая лучшая.  

С противным звуком щелчка и бипов, которые явно будут слышны из спальни.  

В общем, очень расстроен. Либо рискнуть техникой, либо терпеть гул вентилятора и бипы.  

Может, есть обычные сетевые фильтры с надёжной защитой от скачков напряжения? Автономное питание мне не требуется.","Не знаю точно про ваш ИБП, но на некоторых ИБП с двойным преобразованием многие люди, включая меня, заменяли вентиляторы на менее шумные модели с тем же воздушным потоком."
"Я просто пытался понять, какие данные стоит извлекать. В некоторых источниках упоминают, что это можно использовать в системах вроде Instagram. Хочу представить, как это могло бы выглядеть: например, для каждого пользователя создавать отдельное хранилище (раздел базы данных, папку и т.д.) и сохранять туда загружаемые им фотографии.","Когда у тебя есть огромная таблица, где не требуется частичный скан. У меня была таблица с 25 млрд записей. Вторичные индексы реализованы через отдельный распределенный индекс, как обычно. Основной индекс по SHA1 используется в 90% случаев, остальные форматы (md5 и sha256) встречаются реже. Результат — супербыстрая запись (миллионы операций в секунду) и чтение за 2 мс по основному ключу, 3–4 мс через вторичные."
"Ребята, кто-нибудь занимается видеомонтажом?","Я занимаюсь как хобби"
"Ребята, кто-нибудь занимается видеомонтажом?","</think>"
"Норм, а как вызывали? Сначала писал в Тинькоф, и они уже сами искали клинику или как это работает?","Написал в Тинькоф, они дали номер WhatsApp местной страховой, уже сразу всё оформили, через час приехали."
"Ответьте на простой вопрос: кто быстрее — КамАЗ или Феррари? А теперь на тот же вопрос, но с условием, что у вас на перевозку 20 тонн щебня?","Так вот, у нас обсуждение: сколько щебня нужно положить в Кассандру, чтобы её можно было рационально использовать как аналитическую базу."
"Не совсем понял, как это связано с Elasticsearch?  

Давайте разберёмся. Стек ELK — это Elasticsearch, Logstash и Kibana.  

Странно использовать такой стек для аналитики. Да, разработчики ELK добавили в интерфейс Kibana возможности для создания отчётов на основе сырых данных, используя поисковый движок Lucene. Но вы когда-нибудь встречали аналитиков или держателей стейков, которые бы активно использовали Kibana для этой цели?  

Обычно это вспомогательный инструмент для поиска в документах, хранящихся в индексах.  

Что касается данных — обычно информацию из Elasticsearch отправляют в data lake или другое место, чтобы проанализировать её дальше.","Рест апи там очень быстрый. Пушка страшная, как у Дениса Колодина в его время."
"Не совсем понял, как это связано с Elasticsearch?  

Давайте разберёмся. Стек ELK — это Elasticsearch, Logstash и Kibana.  

Странно использовать такой стек для аналитики. Да, разработчики ELK добавили в интерфейс Kibana возможности для создания отчётов на основе сырых данных, используя поисковый движок Lucene. Но вы когда-нибудь встречали аналитиков или держателей стейков, которые бы активно использовали Kibana для этой цели?  

Обычно это вспомогательный инструмент для поиска в документах, хранящихся в индексах.  

Что касается данных — обычно информацию из Elasticsearch отправляют в data lake или другое место, чтобы проанализировать её дальше.","Погодите, по пунктам.  

Первое, поиск — тоже аналитика. Речь про аналитику в широком смысле, как про чтение.  

Второе, как раз об этом и шла речь. Эластик не предназначен для вычислений, но даже в нём операции выполняются быстрее, чем в PostgreSQL и MongoDB.  

Общая идея такая: PostgreSQL и MongoDB (а также, предположительно, Кассандра) — в принципе медленные базы для чтения. То есть при практически любых сценариях, если база медленная на чтение, она будет медленнее в аналитических задачах, чем аналитические базы. Исключения есть, но они скорее всего относятся к двум-трём очень узкоспециализированным случаям."
"Ребята, подскажите, кто-нибудь уже имел дело с местными брокерами? Правильно ли я понимаю, что ни один из них не выходит на международные биржи, а доступ предоставляется только до Ташкента?","У вас ещё не пропало желание торговать?"
"А кто-нибудь может посоветовать по настройке 1С с Postgres? Вопрос в том, нужно ли создавать отдельный инстанс для каждой базы в Postgres или можно обойтись общим. Также интересует, как правильно делать резервные копии. Баз будет 5–6, объем каждой — 10–20 Гб, пользователей до 30.","А в чём плох Скуль?"
"А кто-нибудь может посоветовать по настройке 1С с Postgres? Вопрос в том, нужно ли создавать отдельный инстанс для каждой базы в Postgres или можно обойтись общим. Также интересует, как правильно делать резервные копии. Баз будет 5–6, объем каждой — 10–20 Гб, пользователей до 30.","Тут ключевой вопрос в том, что именно вы хотите перенести в PostgreSQL. Если там используются устаревшие решения или самописный код, вам придётся либо обновить его, либо полностью переписать логику блокировок на основе управляемых механизмов. При использовании автоматического режима блокировок в 1С с PostgreSQL вы в итоге получаете почти ту же файловую модель, но с дополнительными затратами на обслуживание СУБД."
"А кто-нибудь может посоветовать по настройке 1С с Postgres? Вопрос в том, нужно ли создавать отдельный инстанс для каждой базы в Postgres или можно обойтись общим. Также интересует, как правильно делать резервные копии. Баз будет 5–6, объем каждой — 10–20 Гб, пользователей до 30.","У каждого экземпляра своя отдельная база данных."
"Я заметила, что в настройках есть опция усечения журнала транзакций после выполнения копии. Однако вижу, что в текущем интерфейсе отсутствуют некоторые моменты. Например, отсутствует выбор конкретной базы данных. Похоже, инструмент ориентирован в первую очередь на резервное копирование всех баз данных при полном сбое сервера. Также неясно, как настроить частоту копирований для разных баз — в настройках указана единая частота для всех. 

Если использовать maintenance plan, можно настроить резервные копии более гибко: для каждой базы выбрать удобные временные окна, учитывая их загрузку и регламентные операции. Некоторые базы требуют ежедневного архивирования журнала, другие — несколько раз в день. Кроме того, часто на серверах хранятся копии баз для тестирования или проверки данных, которые не являются рабочими. Резервное копирование для них не требуется — это затратно по дисковому пространству.","Гибче можно через скрипт, конечно. Часть ненужного можно заключить. (Не делал кстати так) Но всё же самим скриптом гибче. Сейчас с ХД и ССД — там бэкапы быстрые или вовсе сама СХД делает снапшоты."
"Я заметила, что в настройках есть опция усечения журнала транзакций после выполнения копии. Однако вижу, что в текущем интерфейсе отсутствуют некоторые моменты. Например, отсутствует выбор конкретной базы данных. Похоже, инструмент ориентирован в первую очередь на резервное копирование всех баз данных при полном сбое сервера. Также неясно, как настроить частоту копирований для разных баз — в настройках указана единая частота для всех. 

Если использовать maintenance plan, можно настроить резервные копии более гибко: для каждой базы выбрать удобные временные окна, учитывая их загрузку и регламентные операции. Некоторые базы требуют ежедневного архивирования журнала, другие — несколько раз в день. Кроме того, часто на серверах хранятся копии баз для тестирования или проверки данных, которые не являются рабочими. Резервное копирование для них не требуется — это затратно по дисковому пространству.","Нужно вынести тесты и ненужные данные из проды. Зачем они там?"
"Всем доброго!  
У кого капитал в банке, объясните, пожалуйста, где найти IBAN/BIC?  
В приложении информации нет.  

Техподдержка говорит, что у них нет ни IBAN, ни BIC, но это же не может быть.","Его нет. Они говорят правду. Банк ""Капитал"" не умеет работать с IBAN, как и другие банки Узбекистана."
"Всем доброго!  
У кого капитал в банке, объясните, пожалуйста, где найти IBAN/BIC?  
В приложении информации нет.  

Техподдержка говорит, что у них нет ни IBAN, ни BIC, но это же не может быть.","Как-то делала договор с иностранцами. Они просили наши реквизиты. У них swift/bic написано именно так, через дробь. Поэтому использовали просто свифт код"
"Хмм, а что такое средний уровень там, где один? Это сколько в 1С пользователей? Для понимания.  

Просто я давно не встречал не кластерную сколь и 1С.","Разница в подходе к базам данных зависит не столько от количества пользователей, сколько от используемых технологий, интеграции, отраслевой специфики, типа решения (тиражное или нет) и географии бизнеса. В крупных мегаполисах или отраслях с высокой волатильностью — нефть, машиностроение, металлургия, ритейл — обычно есть развитая инфраструктура: кластеры, DBA-специалисты, DevOps-инженеры в штате. В регионах положение сложнее: даже наличие администратора, способного хотя бы минимально работать с СУБД, уже считается достижением. В некоторых местах разница между файловой и серверной СУБД понимают только как разницу в скорости. Специалистов, способных осмысленно разбираться в работе баз данных, до недавнего времени было немного — помощь в переводе информации на русский язык появилась только с 2014 года. В Москве, например, в 2018 году некоторые компании начали предлагать отсрочку оформления, если кандидат обещал привлечь эксперта по техническим вопросам. В регионах же бизнес часто вынужден работать в режиме ""как есть"", делая обходные маневры, чтобы континуум работал. Получить финансирование на оборудование, лицензии и обслуживание — задача непростая. В крупных городах всё на порядок проще."
"Ребят, а в Ташкенте в аэропорту внутри здания можно встретить? Или только снаружи, где стоят таксисты? Девушка, нагруженная чемоданами, прилетает. Думаю, как её встретить.","Только снаружи под навесом к сожалению"
"Ребят, а в Ташкенте в аэропорту внутри здания можно встретить? Или только снаружи, где стоят таксисты? Девушка, нагруженная чемоданами, прилетает. Думаю, как её встретить.","На ленте ей обычно чемоданы на тележку погружают — это не проблема. А вот тележку довести — хм, ну попросить кого-то. Не помню, чтобы там был сервис."
"привет, можно вопрос?","Нет."
"привет, можно вопрос?","в вашем вопросе содержится половина ответа"
"привет, можно вопрос?","</think>"
"Народ, кто-нибудь пробовал USD-депозит в Капитал банке? Очень привлекательные условия: проценты, ежемесячные выплаты, возможность досрочного снятия и всё через приложение. Работает ли это на самом деле?  

Надо проверить, есть ли в России страхование вкладов для таких депозитов.","Есть страхование вкладов. Но выплатят в суммах, если хватит денег. Вроде как так."
"Народ, кто-нибудь пробовал USD-депозит в Капитал банке? Очень привлекательные условия: проценты, ежемесячные выплаты, возможность досрочного снятия и всё через приложение. Работает ли это на самом деле?  

Надо проверить, есть ли в России страхование вкладов для таких депозитов.","Работает, каждый день поступает начисление на счёт."
"Народ, кто-нибудь пробовал USD-депозит в Капитал банке? Очень привлекательные условия: проценты, ежемесячные выплаты, возможность досрочного снятия и всё через приложение. Работает ли это на самом деле?  

Надо проверить, есть ли в России страхование вкладов для таких депозитов.","Вы нерезидент? Потом могут быть проблемы с дальнейшим движением."
"Народ, кто-нибудь пробовал USD-депозит в Капитал банке? Очень привлекательные условия: проценты, ежемесячные выплаты, возможность досрочного снятия и всё через приложение. Работает ли это на самом деле?  

Надо проверить, есть ли в России страхование вкладов для таких депозитов.","Да, всё работает."
"Кто-нибудь знает, можно ли заряжать ноутбук через USB-C порт?","Обычно для ноутов делают DP, поэтому не всегда."
"Есть ли кто-то, кто разбирается в этой программе и может обучить, или предоставить качественные руководства?","У меня где-то есть лабораторные работы с курсов по ней. Не уверен, что они очень хорошие, но если ничего больше не найдете — вечером отправлю"
"Ребят, подскажите по IT-карте. Муж получил одобрение, скоро заберёт. Если я планирую трудоустраиваться разработчиком, стоит ли мне подавать на IT-карту от своего имени или достаточно того, что она уже есть у супруга?","Что такое IT-карта? Оно?"
"Ребят, подскажите по IT-карте. Муж получил одобрение, скоро заберёт. Если я планирую трудоустраиваться разработчиком, стоит ли мне подавать на IT-карту от своего имени или достаточно того, что она уже есть у супруга?","Как я понял, достаточно."
